Company,Sector,Archetype,Confidence,Evidence URL (example),Notes,Aptitude/Assessment,Coding Challenge/OA,Technical (DSA/SQL),System Design/Architecture,Case Study/Business Case,HR/Recruiter Screen,Behavioral/Values,Hiring Manager/Managerial,Group Discussion/Group Exercise,Panel/Loop,Presentation/Assignment
Tata Consultancy Services (TCS),IT Services,IT Services (Mass hiring / Services),High,https://www.geeksforgeeks.org/interview-experiences/tcs-recruitment-process/,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,Yes,,Yes,,,Yes,Yes,Yes,Yes,,
Infosys,IT Services,IT Services (Mass hiring / Services),High,https://www.geeksforgeeks.org/interview-experiences/tcs-recruitment-process/,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,Yes,,Yes,,,Yes,Yes,Yes,Yes,,
Wipro,IT Services,IT Services (Mass hiring / Services),Medium,https://www.geeksforgeeks.org/interview-experiences/tcs-recruitment-process/,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,Yes,,Yes,,,Yes,Yes,Yes,Yes,,
HCLTech,IT Services,IT Services (Mass hiring / Services),Medium,https://www.geeksforgeeks.org/interview-experiences/tcs-recruitment-process/,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,Yes,,Yes,,,Yes,Yes,Yes,Yes,,
Tech Mahindra,IT Services,IT Services (Mass hiring / Services),Medium,https://www.geeksforgeeks.org/interview-experiences/tcs-recruitment-process/,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,Yes,,Yes,,,Yes,Yes,Yes,Yes,,
Cognizant,IT Services,IT Services (Services / Captive),Medium,,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,Yes,,Yes,,,Yes,Yes,Yes,Yes,,
Capgemini,IT Services,IT Services (Services / Captive),Medium,,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,Yes,,Yes,,,Yes,Yes,Yes,Yes,,
Accenture,IT Services,IT Services (Services / Consulting),High,https://www.geeksforgeeks.org/gfg-academy/accenture-recruitment-process/,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,Yes,,Yes,,,Yes,Yes,Yes,Yes,,
IBM,IT Services,IT Services (Services / Captive),Medium,,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,Yes,,Yes,,,Yes,Yes,Yes,Yes,,
LTIMindtree,IT Services,IT Services (Services / Captive),Medium,,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,Yes,,Yes,,,Yes,Yes,Yes,Yes,,
Mphasis,IT Services,IT Services (Services / Captive),Medium,,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,Yes,,Yes,,,Yes,Yes,Yes,Yes,,
Persistent Systems,IT Services,IT Services (Product engineering / Services),Medium,,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,Yes,,Yes,,,Yes,Yes,Yes,Yes,,
Coforge,IT Services,IT Services (Services / Captive),Medium,,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,Yes,,Yes,,,Yes,Yes,Yes,Yes,,
Birlasoft,IT Services,IT Services (Services / Captive),Medium,,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,Yes,,Yes,,,Yes,Yes,Yes,Yes,,
Hexaware,IT Services,IT Services (Services / Captive),Medium,,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,Yes,,Yes,,,Yes,Yes,Yes,Yes,,
Genpact,BPM/Services,BPM / Shared services,Medium,,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,Yes,,,,,Yes,Yes,Yes,,,
WNS,BPM/Services,BPM / Shared services,Medium,,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,Yes,,,,,Yes,Yes,Yes,,,
Concentrix,BPM/Services,BPM / Shared services,Medium,,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,Yes,,,,,Yes,Yes,Yes,,,
Teleperformance,BPM/Services,BPM / Shared services,Medium,,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,Yes,,,,,Yes,Yes,Yes,,,
DXC Technology,IT Services,IT Services (Services / Captive),Medium,,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,Yes,,Yes,,,Yes,Yes,Yes,Yes,,
Amazon,Big Tech,Big Tech / Product,High,https://amazon.jobs/content/en/how-we-hire/university-roles/sde,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,
Google,Big Tech,Big Tech / Product,High,https://amazon.jobs/content/en/how-we-hire/university-roles/sde,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,
Microsoft,Big Tech,Big Tech / Product,Medium,https://amazon.jobs/content/en/how-we-hire/university-roles/sde,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,
Meta,Big Tech,Big Tech / Product,Medium,https://amazon.jobs/content/en/how-we-hire/university-roles/sde,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,
Apple,Big Tech,Big Tech / Product,Medium,https://amazon.jobs/content/en/how-we-hire/university-roles/sde,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,
Netflix,Big Tech,Big Tech / Product,Medium,https://amazon.jobs/content/en/how-we-hire/university-roles/sde,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,
Uber,Consumer Tech,Big Tech / Product,Medium,https://amazon.jobs/content/en/how-we-hire/university-roles/sde,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,
Airbnb,Consumer Tech,Big Tech / Product,Medium,https://amazon.jobs/content/en/how-we-hire/university-roles/sde,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,
LinkedIn,Big Tech,Big Tech / Product,Medium,https://amazon.jobs/content/en/how-we-hire/university-roles/sde,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,
Salesforce,SaaS,Enterprise SaaS,Medium,,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,
Adobe,SaaS,Enterprise SaaS,Medium,,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,
Atlassian,SaaS,Enterprise SaaS,Medium,,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,
ServiceNow,SaaS,Enterprise SaaS,Medium,,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,
Oracle,Enterprise Tech,Enterprise Tech,Medium,,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,
SAP,Enterprise Tech,Enterprise Tech,Medium,,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,
Cisco,Enterprise Tech,Enterprise Tech,Medium,,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,
Intel,Hardware/Semiconductor,Hardware/Semiconductor,Medium,,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,,,,,,Yes,Yes,Yes,,,
NVIDIA,Hardware/Semiconductor,Hardware/Semiconductor,Medium,,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,,,,,,Yes,Yes,Yes,,,
Qualcomm,Hardware/Semiconductor,Hardware/Semiconductor,Medium,,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,,,,,,Yes,Yes,Yes,,,
Flipkart,E-commerce,India Consumer Tech,Medium,,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,
Walmart Global Tech India,E-commerce,Global Retail Tech,Medium,,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,
PhonePe,Fintech,India Fintech,Medium,,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,
Paytm,Fintech,India Fintech,Medium,,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,
Razorpay,Fintech,India Fintech,Medium,,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,
Meesho,E-commerce,India Consumer Tech,Medium,,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,
Swiggy,Consumer Tech,India Consumer Tech,Medium,,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,
Zomato,Consumer Tech,India Consumer Tech,Medium,,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,
Ola,Mobility,India Consumer Tech,Medium,,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,
Myntra,E-commerce,India Consumer Tech,Medium,,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,
MakeMyTrip,Travel,India Consumer Tech,Medium,,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,
Freshworks,SaaS,India SaaS,Medium,,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,,,,,,Yes,Yes,Yes,,,
Zoho,SaaS,India SaaS,Medium,,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,,,,,,Yes,Yes,Yes,,,
InMobi,AdTech,India Consumer Tech,Medium,,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,
Tata 1mg,HealthTech,India Consumer Tech,Medium,,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,
OYO,Hospitality Tech,India Consumer Tech,Medium,,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,
Zerodha,Fintech,India Fintech,Medium,,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,
Groww,Fintech,India Fintech,Medium,,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,
Upstox,Fintech,India Fintech,Medium,,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,
CRED,Fintech,India Fintech,Medium,,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,
Zepto,Consumer Tech,India Consumer Tech,Medium,,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,
Deloitte,Consulting/Advisory,Consulting / Big 4,High,https://www.deloitte.com/za/en/careers/explore-your-fit/students/deloitterecruitprocess.html,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,Yes,,,,Yes,Yes,Yes,Yes,,Yes,Yes
PwC,Consulting/Advisory,Consulting / Big 4,Medium,https://www.deloitte.com/za/en/careers/explore-your-fit/students/deloitterecruitprocess.html,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,Yes,,,,Yes,Yes,Yes,Yes,,Yes,Yes
EY,Consulting/Advisory,Consulting / Big 4,Medium,https://www.deloitte.com/za/en/careers/explore-your-fit/students/deloitterecruitprocess.html,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,Yes,,,,Yes,Yes,Yes,Yes,,Yes,Yes
KPMG,Consulting/Advisory,Consulting / Big 4,Medium,https://www.deloitte.com/za/en/careers/explore-your-fit/students/deloitterecruitprocess.html,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,Yes,,,,Yes,Yes,Yes,Yes,,Yes,Yes
McKinsey & Company,Consulting,Strategy Consulting (MBB),High,https://www.mckinsey.com/careers/interviewing,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,Yes,,,,Yes,Yes,Yes,Yes,,Yes,Yes
Boston Consulting Group (BCG),Consulting,Strategy Consulting (MBB),Medium,https://www.mckinsey.com/careers/interviewing,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,Yes,,,,Yes,Yes,Yes,Yes,,Yes,Yes
Bain & Company,Consulting,Strategy Consulting (MBB),Medium,https://www.mckinsey.com/careers/interviewing,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,Yes,,,,Yes,Yes,Yes,Yes,,Yes,Yes
Accenture Strategy,Consulting,Consulting / Big 4-like,Medium,,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,Yes,,,,Yes,Yes,Yes,Yes,,Yes,Yes
Capgemini Invent,Consulting,Consulting / Big 4-like,Medium,,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,Yes,,,,Yes,Yes,Yes,Yes,,Yes,Yes
ZS Associates,Consulting,Consulting / Analytics,Medium,,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,Yes,,,,Yes,Yes,Yes,Yes,,Yes,Yes
HDFC Bank,BFSI,Bank (Retail/Corporate),High,https://www.glassdoor.com/Interview/HDFC-Bank-Interview-Questions-E100231.htm,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,Yes,,Yes,,,Yes,Yes,Yes,,Yes,
ICICI Bank,BFSI,Bank (Retail/Corporate),Medium,https://www.glassdoor.com/Interview/HDFC-Bank-Interview-Questions-E100231.htm,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,Yes,,Yes,,,Yes,Yes,Yes,,Yes,
Axis Bank,BFSI,Bank (Retail/Corporate),Medium,https://www.glassdoor.com/Interview/HDFC-Bank-Interview-Questions-E100231.htm,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,Yes,,Yes,,,Yes,Yes,Yes,,Yes,
Kotak Mahindra Bank,BFSI,Bank (Retail/Corporate),Medium,https://www.glassdoor.com/Interview/HDFC-Bank-Interview-Questions-E100231.htm,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,Yes,,Yes,,,Yes,Yes,Yes,,Yes,
State Bank of India (SBI),BFSI,Bank (Retail/Corporate),Medium,https://www.glassdoor.com/Interview/HDFC-Bank-Interview-Questions-E100231.htm,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,Yes,,Yes,,,Yes,Yes,Yes,,Yes,
IDFC FIRST Bank,BFSI,Bank (Retail/Corporate),Medium,https://www.glassdoor.com/Interview/HDFC-Bank-Interview-Questions-E100231.htm,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,Yes,,Yes,,,Yes,Yes,Yes,,Yes,
IndusInd Bank,BFSI,Bank (Retail/Corporate),Medium,https://www.glassdoor.com/Interview/HDFC-Bank-Interview-Questions-E100231.htm,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,Yes,,Yes,,,Yes,Yes,Yes,,Yes,
Yes Bank,BFSI,Bank (Retail/Corporate),Medium,https://www.glassdoor.com/Interview/HDFC-Bank-Interview-Questions-E100231.htm,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,Yes,,Yes,,,Yes,Yes,Yes,,Yes,
Bajaj Finance,BFSI,NBFC,Medium,,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,Yes,,Yes,,,Yes,Yes,Yes,,Yes,
Bajaj Finserv,BFSI,NBFC,Medium,,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,Yes,,Yes,,,Yes,Yes,Yes,,Yes,
American Express,BFSI,Financial Services,Medium,,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,Yes,,Yes,,,Yes,Yes,Yes,,Yes,
JPMorgan Chase,BFSI,Investment Bank / Captive,Medium,,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,Yes,,Yes,,,Yes,Yes,Yes,,Yes,
Goldman Sachs,BFSI,Investment Bank / Captive,High,,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,Yes,,Yes,,,Yes,Yes,Yes,,Yes,
Morgan Stanley,BFSI,Investment Bank / Captive,Medium,,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,Yes,,Yes,,,Yes,Yes,Yes,,Yes,
Barclays,BFSI,Investment Bank / Captive,Medium,,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,Yes,,Yes,,,Yes,Yes,Yes,,Yes,
HSBC,BFSI,Bank (Global),Medium,,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,Yes,,Yes,,,Yes,Yes,Yes,,Yes,
Standard Chartered,BFSI,Bank (Global),Medium,,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,Yes,,Yes,,,Yes,Yes,Yes,,Yes,
Hindustan Unilever (HUL),FMCG,FMCG / Consumer,High,https://www.glassdoor.com/Interview/Hindustan-Unilever-Interview-Questions-E9399737.htm,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,Yes,,,,Yes,Yes,Yes,Yes,Yes,,Yes
ITC,FMCG,FMCG / Consumer,Medium,https://www.glassdoor.com/Interview/Hindustan-Unilever-Interview-Questions-E9399737.htm,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,Yes,,,,Yes,Yes,Yes,Yes,Yes,,Yes
Nestlé India,FMCG,FMCG / Consumer,Medium,https://www.glassdoor.com/Interview/Hindustan-Unilever-Interview-Questions-E9399737.htm,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,Yes,,,,Yes,Yes,Yes,Yes,Yes,,Yes
Procter & Gamble (P&G),FMCG,FMCG / Consumer,Medium,https://www.glassdoor.com/Interview/Hindustan-Unilever-Interview-Questions-E9399737.htm,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,Yes,,,,Yes,Yes,Yes,Yes,Yes,,Yes
PepsiCo India,FMCG,FMCG / Consumer,Medium,https://www.glassdoor.com/Interview/Hindustan-Unilever-Interview-Questions-E9399737.htm,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,Yes,,,,Yes,Yes,Yes,Yes,Yes,,Yes
Coca-Cola India,FMCG,FMCG / Consumer,Medium,https://www.glassdoor.com/Interview/Hindustan-Unilever-Interview-Questions-E9399737.htm,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,Yes,,,,Yes,Yes,Yes,Yes,Yes,,Yes
Britannia,FMCG,FMCG / Consumer,Medium,https://www.glassdoor.com/Interview/Hindustan-Unilever-Interview-Questions-E9399737.htm,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,Yes,,,,Yes,Yes,Yes,Yes,Yes,,Yes
Marico,FMCG,FMCG / Consumer,Medium,https://www.glassdoor.com/Interview/Hindustan-Unilever-Interview-Questions-E9399737.htm,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,Yes,,,,Yes,Yes,Yes,Yes,Yes,,Yes
Dabur,FMCG,FMCG / Consumer,Medium,https://www.glassdoor.com/Interview/Hindustan-Unilever-Interview-Questions-E9399737.htm,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,Yes,,,,Yes,Yes,Yes,Yes,Yes,,Yes
Asian Paints,Manufacturing/Consumer,Manufacturing / Consumer,Medium,,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,Yes,,Yes,,,Yes,Yes,Yes,,Yes,
Reliance Industries,Conglomerate,Conglomerate / Consumer,Medium,,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,Yes,,Yes,,,Yes,Yes,Yes,,Yes,
Reliance Jio,Telecom,Telecom,Medium,,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,Yes,,Yes,,,Yes,Yes,Yes,,Yes,
Bharti Airtel,Telecom,Telecom,Medium,,Typical components vary by role & level; this row reflects commonly reported hiring stages for India hiring.,Yes,,Yes,,,Yes,Yes,Yes,,Yes,
