id,name,description,definition,level,parent_skill_id,category,is_active,created_at,updated_at,framework_mapping,reference_source,assessment_dimensions,scoring_model_logic
70,Coaching for Performance,"Helps individuals diagnose root causes, take ownership, and commit to measurable next steps. Balances support with firm expectations to improve performance outcomes.",Driving accountability and improvement through structured conversations.,1,,General,True,"""2025-12-09T17:11:35.312Z""","""2025-12-16T04:26:43.155Z""",GROW Coaching Model + SBI Feedback,"Whitmore, J. (2009). Coaching for Performance (GROW).; Center for Creative Leadership / SBI feedback practice.",Goal clarity; Reality diagnosis; Options co-creation; Commitment & follow-through; Accountability tone,"SkillPulse: score each dimension (1–5) as the average of mapped Likert/SJT items (reverse-code where applicable); overall skill score = average of dimension scores (or weighted average if weights provided). AI Practice Lab: score each dimension 0–5 using a behavioral rubric (0=not observed, 5=exemplary) with evidence tags; session skill score = weighted average of observed dimensions; track consistency (variance) and improvement vs baseline."
71,Crisis Communication & Decision Leadership,"Demonstrates calm prioritization, transparent messaging, and steady leadership during emergencies. Protects trust while guiding rapid recovery.",Communicating clearly and deciding confidently under pressure.,1,,General,True,"""2025-12-09T17:11:35.340Z""","""2025-12-16T04:26:43.155Z""",OODA Loop (decision) + Crisis Communication principles,"Boyd, J. (OODA Loop).; Coombs, W.T. (Situational Crisis Communication Theory - SCCT) for crisis response principles.",Situation assessment; Prioritization & trade-offs; Transparency & updates; Calm authority; Decision follow-through,"SkillPulse: score each dimension (1–5) as the average of mapped Likert/SJT items (reverse-code where applicable); overall skill score = average of dimension scores (or weighted average if weights provided). AI Practice Lab: score each dimension 0–5 using a behavioral rubric (0=not observed, 5=exemplary) with evidence tags; session skill score = weighted average of observed dimensions; track consistency (variance) and improvement vs baseline."
72,Clarity & Context Setting,"Translates ambiguous expectations into clear goals, roles, and next steps. Builds psychological safety by ensuring teams understand the what, why, and how.",Simplifying complexity and creating shared understanding.,1,,General,True,"""2025-12-09T17:11:35.361Z""","""2025-12-16T04:26:43.155Z""",Pyramid Principle (structured communication) + Commander’s Intent,"Minto, B. (2009). The Pyramid Principle.; Military concept of Commander’s Intent (mission command).",Purpose/why; Priorities; Roles & ownership; Success criteria; Next steps & confirmation,"SkillPulse: score each dimension (1–5) as the average of mapped Likert/SJT items (reverse-code where applicable); overall skill score = average of dimension scores (or weighted average if weights provided). AI Practice Lab: score each dimension 0–5 using a behavioral rubric (0=not observed, 5=exemplary) with evidence tags; session skill score = weighted average of observed dimensions; track consistency (variance) and improvement vs baseline."
73,Strategic Thinking & Insight,"Cuts through noise to reveal the real issue, communicates insights crisply, and aligns recommendations with business impact.","Identifying patterns, risks, and opportunities to guide decisions.",1,,General,True,"""2025-12-09T17:11:35.381Z""","""2025-12-16T04:26:43.155Z""",Hypothesis-driven problem solving + MECE/Issue Trees,"Minto, B. (MECE structuring).; Common consulting practice: hypothesis-driven analysis and issue trees.",Problem framing; Root-cause logic; Options evaluation; Business impact thinking; Executive synthesis,"SkillPulse: score each dimension (1–5) as the average of mapped Likert/SJT items (reverse-code where applicable); overall skill score = average of dimension scores (or weighted average if weights provided). AI Practice Lab: score each dimension 0–5 using a behavioral rubric (0=not observed, 5=exemplary) with evidence tags; session skill score = weighted average of observed dimensions; track consistency (variance) and improvement vs baseline."
74,Cross-Functional Collaboration,"Navigates friction, aligns stakeholders, and builds shared ownership. Reduces silos through trust, transparency, and structured coordination.","Working effectively across teams, functions, and priorities.",1,,General,True,"""2025-12-09T17:11:35.400Z""","""2025-12-16T04:26:43.155Z""",Lencioni Team Model + RACI/DACI role clarity,"Lencioni, P. (2002). The Five Dysfunctions of a Team.; RACI/DACI decision-rights practice (project/program management).",Shared goals; Trust-building behaviors; Coordination discipline; Trade-off negotiation; Mutual accountability,"SkillPulse: score each dimension (1–5) as the average of mapped Likert/SJT items (reverse-code where applicable); overall skill score = average of dimension scores (or weighted average if weights provided). AI Practice Lab: score each dimension 0–5 using a behavioral rubric (0=not observed, 5=exemplary) with evidence tags; session skill score = weighted average of observed dimensions; track consistency (variance) and improvement vs baseline."
75,Customer Communication Under Pressure,"Responds with empathy, clarity, and realistic expectations. Resolves tension while protecting customer relationships.",Maintaining trust with customers during escalations or crises.,1,,General,True,"""2025-12-09T17:11:35.420Z""","""2025-12-16T04:26:43.155Z""",Service Recovery (LAER/HEARD) + Trust Repair basics,LAER (Listen-Acknowledge-Explore-Respond) used in service recovery; Trust repair research (Lewicki & colleagues).,Empathy & validation; Clarity of explanation; Expectation setting; Ownership; Resolution path,"SkillPulse: score each dimension (1–5) as the average of mapped Likert/SJT items (reverse-code where applicable); overall skill score = average of dimension scores (or weighted average if weights provided). AI Practice Lab: score each dimension 0–5 using a behavioral rubric (0=not observed, 5=exemplary) with evidence tags; session skill score = weighted average of observed dimensions; track consistency (variance) and improvement vs baseline."
76,Stakeholder Alignment & Orchestration,"Anticipates dependencies, negotiates constraints, and aligns expectations. Ensures clarity of roles, timelines, and decisions across teams.",Coordinating diverse groups toward a unified plan.,1,,General,True,"""2025-12-09T17:11:35.443Z""","""2025-12-16T04:26:43.155Z""",RAPID Decision Rights + Stakeholder Mapping,Bain RAPID decision model; Stakeholder mapping & dependency management practices in program management.,Stakeholder diagnosis; Dependency management; Decision hygiene; Alignment communication; Risk surfacing,"SkillPulse: score each dimension (1–5) as the average of mapped Likert/SJT items (reverse-code where applicable); overall skill score = average of dimension scores (or weighted average if weights provided). AI Practice Lab: score each dimension 0–5 using a behavioral rubric (0=not observed, 5=exemplary) with evidence tags; session skill score = weighted average of observed dimensions; track consistency (variance) and improvement vs baseline."
77,Leadership Presence Under Pressure,"Regulates emotion, communicates decisively, and demonstrates steadiness. Inspires trust when stakes are high.","Maintaining calm, confidence, and credibility in high-stakes situations.",1,,General,True,"""2025-12-09T17:11:35.476Z""","""2025-12-16T04:26:43.155Z""",Executive Presence (Hewlett) + Stress regulation principles,"Hewlett, S.A. (2013). Executive Presence.; Evidence-based stress regulation concepts (emotion regulation research).",Composure; Confidence signals; Clarity; Decisiveness; Ownership stance,"SkillPulse: score each dimension (1–5) as the average of mapped Likert/SJT items (reverse-code where applicable); overall skill score = average of dimension scores (or weighted average if weights provided). AI Practice Lab: score each dimension 0–5 using a behavioral rubric (0=not observed, 5=exemplary) with evidence tags; session skill score = weighted average of observed dimensions; track consistency (variance) and improvement vs baseline."
78,Growth Mindset & Feedback Openness,Approaches criticism with curiosity rather than defensiveness. Converts insights into clear developmental action.,Welcoming and applying feedback for continuous improvement.,1,,General,True,"""2025-12-09T17:11:35.497Z""","""2025-12-16T04:27:44.388Z""",Growth Mindset + Radical Candor,"Dweck, C. (2006). Mindset.; Scott, K. (2017). Radical Candor.",Curiosity; Non-defensiveness; Ownership; Learning agility; Action planning,"SkillPulse: score each dimension (1–5) as the average of mapped Likert/SJT items (reverse-code where applicable); overall skill score = average of dimension scores (or weighted average if weights provided). AI Practice Lab: score each dimension 0–5 using a behavioral rubric (0=not observed, 5=exemplary) with evidence tags; session skill score = weighted average of observed dimensions; track consistency (variance) and improvement vs baseline."
79,Team Cohesion & Collaboration Building,"Surfaces hidden tensions, encourages open dialogue, and establishes norms of shared problem-solving.",Building trust and reducing friction within teams.,1,,General,True,"""2025-12-09T17:11:35.517Z""","""2025-12-16T04:27:44.388Z""",Psychological Safety + Lencioni Team Model,"Edmondson, A. (1999/2018). Psychological Safety.; Lencioni, P. (2002). Five Dysfunctions.",Trust behaviors; Norm-setting; Healthy conflict; Inclusion; Shared accountability,"SkillPulse: score each dimension (1–5) as the average of mapped Likert/SJT items (reverse-code where applicable); overall skill score = average of dimension scores (or weighted average if weights provided). AI Practice Lab: score each dimension 0–5 using a behavioral rubric (0=not observed, 5=exemplary) with evidence tags; session skill score = weighted average of observed dimensions; track consistency (variance) and improvement vs baseline."
80,Customer Empathy & De-escalation,"Listens deeply, validates frustration, and guides conversations toward constructive solutions while maintaining credibility.",Understanding emotions and reducing conflict in difficult customer interactions.,1,,General,True,"""2025-12-09T17:11:35.536Z""","""2025-12-16T04:27:44.388Z""",Nonviolent Communication (NVC) + De-escalation techniques,"Rosenberg, M. (2003). Nonviolent Communication.; Common de-escalation practice (label/validate/redirect).",Emotional labeling; Validation; Calm tone; Boundary holding; Solution pivot,"SkillPulse: score each dimension (1–5) as the average of mapped Likert/SJT items (reverse-code where applicable); overall skill score = average of dimension scores (or weighted average if weights provided). AI Practice Lab: score each dimension 0–5 using a behavioral rubric (0=not observed, 5=exemplary) with evidence tags; session skill score = weighted average of observed dimensions; track consistency (variance) and improvement vs baseline."
81,Decision-Making Under Ambiguity,"Weighs trade-offs, prioritizes dynamically, and communicates rationale clearly. Moves forward despite uncertainty.",Making sound choices with incomplete information.,1,,General,True,"""2025-12-09T17:11:35.557Z""","""2025-12-16T04:27:44.388Z""",Cynefin Framework + Recognition-Primed Decision (RPD),"Snowden, D. (Cynefin).; Klein, G. (1998). Sources of Power (RPD).",Sensemaking; Risk trade-offs; Reversibility awareness; Speed vs quality; Communication of rationale,"SkillPulse: score each dimension (1–5) as the average of mapped Likert/SJT items (reverse-code where applicable); overall skill score = average of dimension scores (or weighted average if weights provided). AI Practice Lab: score each dimension 0–5 using a behavioral rubric (0=not observed, 5=exemplary) with evidence tags; session skill score = weighted average of observed dimensions; track consistency (variance) and improvement vs baseline."
82,Conflict Navigation & Mediation,"Uses neutrality, probing questions, and reframing to uncover underlying issues. Guides parties toward shared agreements.",Helping individuals or teams resolve disagreements constructively.,1,,General,True,"""2025-12-09T17:11:35.577Z""","""2025-12-16T04:27:44.388Z""",Thomas–Kilmann Conflict Modes + Interest-Based Negotiation,"Thomas, K.W. & Kilmann, R.H. (TKI).; Fisher, R., Ury, W. & Patton, B. (2011). Getting to Yes.",Neutrality; Separate issue from person; Interests discovery; Reframing; Agreement crafting,"SkillPulse: score each dimension (1–5) as the average of mapped Likert/SJT items (reverse-code where applicable); overall skill score = average of dimension scores (or weighted average if weights provided). AI Practice Lab: score each dimension 0–5 using a behavioral rubric (0=not observed, 5=exemplary) with evidence tags; session skill score = weighted average of observed dimensions; track consistency (variance) and improvement vs baseline."
83,Influence & Persuasion,"Frames proposals strategically, addresses objections, and adapts messaging to stakeholders. Influences without relying on authority.","Gaining support for ideas through logic, value, and credibility.",1,,General,True,"""2025-12-09T17:11:35.597Z""","""2025-12-16T04:27:44.388Z""",Cialdini Influence Principles + Structured messaging,"Cialdini, R. (2006/2021). Influence.; Minto (Pyramid Principle) for structure.",Audience diagnosis; Value framing; Logic clarity; Objection handling; Clear ask/close,"SkillPulse: score each dimension (1–5) as the average of mapped Likert/SJT items (reverse-code where applicable); overall skill score = average of dimension scores (or weighted average if weights provided). AI Practice Lab: score each dimension 0–5 using a behavioral rubric (0=not observed, 5=exemplary) with evidence tags; session skill score = weighted average of observed dimensions; track consistency (variance) and improvement vs baseline."
84,Self-Awareness & Feedback Integration,Reflects honestly on behavior and integrates feedback into daily practice. Builds emotional maturity and leadership depth.,"Understanding personal triggers, patterns, and blind spots.",1,,General,True,"""2025-12-09T17:11:35.618Z""","""2025-12-16T04:27:44.388Z""",Emotional Intelligence + Johari Window,Goleman EI framework.; Luft & Ingham (Johari Window).,Trigger awareness; Pattern recognition; Accountability; Self-regulation; Behavior change follow-through,"SkillPulse: score each dimension (1–5) as the average of mapped Likert/SJT items (reverse-code where applicable); overall skill score = average of dimension scores (or weighted average if weights provided). AI Practice Lab: score each dimension 0–5 using a behavioral rubric (0=not observed, 5=exemplary) with evidence tags; session skill score = weighted average of observed dimensions; track consistency (variance) and improvement vs baseline."
85,Coaching for Growth,"Encourages independent thinking, strengthens confidence, and supports long-term growth rather than giving solutions.","Developing others through questioning, reflection, and empowerment.",1,,General,True,"""2025-12-09T17:11:35.638Z""","""2025-12-16T04:27:44.388Z""",GROW Coaching Model + ICF Coaching Competencies,Whitmore (GROW).; International Coaching Federation (ICF) core competencies (summary level).,Inquiry quality; Empowerment; Strengths spotting; Development planning; Psychological safety,"SkillPulse: score each dimension (1–5) as the average of mapped Likert/SJT items (reverse-code where applicable); overall skill score = average of dimension scores (or weighted average if weights provided). AI Practice Lab: score each dimension 0–5 using a behavioral rubric (0=not observed, 5=exemplary) with evidence tags; session skill score = weighted average of observed dimensions; track consistency (variance) and improvement vs baseline."
86,Systems Thinking & Prioritization,"Sees the bigger picture, anticipates ripple effects, and prioritizes work based on strategic value.",Understanding interdependencies and making high-impact trade-offs.,1,,General,True,"""2025-12-09T17:11:35.658Z""","""2025-12-16T04:27:44.388Z""",Systems Thinking (Meadows) + Impact/Effort prioritization,"Meadows, D. (2008). Thinking in Systems.; Common product/program prioritization methods (impact-effort).",Interdependency thinking; Constraint awareness; Sequencing; Impact logic; Trade-off communication,"SkillPulse: score each dimension (1–5) as the average of mapped Likert/SJT items (reverse-code where applicable); overall skill score = average of dimension scores (or weighted average if weights provided). AI Practice Lab: score each dimension 0–5 using a behavioral rubric (0=not observed, 5=exemplary) with evidence tags; session skill score = weighted average of observed dimensions; track consistency (variance) and improvement vs baseline."
87,Relationship Building & Presence,"Demonstrates curiosity, warmth, and confidence in interactions. Builds networks that expand collaboration and opportunity.",Creating trust and authentic connection with others.,1,,General,True,"""2025-12-09T17:11:35.678Z""","""2025-12-16T04:27:44.388Z""",Rapport/Trust behaviors + Social Capital research,"Social capital research (e.g., Nahapiet & Ghoshal).; Practical rapport-building and active listening methods.",Warmth; Curiosity; Listening depth; Authenticity; Reciprocity,"SkillPulse: score each dimension (1–5) as the average of mapped Likert/SJT items (reverse-code where applicable); overall skill score = average of dimension scores (or weighted average if weights provided). AI Practice Lab: score each dimension 0–5 using a behavioral rubric (0=not observed, 5=exemplary) with evidence tags; session skill score = weighted average of observed dimensions; track consistency (variance) and improvement vs baseline."
88,Vision Communication & Change Influence,"Clearly explains long-term value, addresses skepticism, and mobilizes support for change or new approaches.",Articulating ideas and inspiring others toward future possibilities.,1,,General,True,"""2025-12-09T17:11:35.698Z""","""2025-12-16T04:27:44.388Z""",Kotter Change Model + ADKAR,"Kotter, J. (1996). Leading Change.; Hiatt, J. (ADKAR model, Prosci).",Future-state clarity; Why-now narrative; Benefits vs costs; Resistance handling; Adoption plan,"SkillPulse: score each dimension (1–5) as the average of mapped Likert/SJT items (reverse-code where applicable); overall skill score = average of dimension scores (or weighted average if weights provided). AI Practice Lab: score each dimension 0–5 using a behavioral rubric (0=not observed, 5=exemplary) with evidence tags; session skill score = weighted average of observed dimensions; track consistency (variance) and improvement vs baseline."
89,Assertive Communication & Boundary Negotiation,Sets realistic expectations through firm but respectful dialogue. Balances assertiveness with empathy.,Communicating needs clearly while maintaining relationships.,1,,General,True,"""2025-12-09T17:11:35.717Z""","""2025-12-16T04:27:44.388Z""",Crucial Conversations + DESC Script,Patterson et al. (Crucial Conversations).; DESC assertiveness script (Describe-Express-Specify-Consequences).,Directness; Respect; Boundary clarity; Alternatives offered; Relationship protection,"SkillPulse: score each dimension (1–5) as the average of mapped Likert/SJT items (reverse-code where applicable); overall skill score = average of dimension scores (or weighted average if weights provided). AI Practice Lab: score each dimension 0–5 using a behavioral rubric (0=not observed, 5=exemplary) with evidence tags; session skill score = weighted average of observed dimensions; track consistency (variance) and improvement vs baseline."
90,Consultative Influence & Objection Handling,"Uses active listening, probing, and structured reasoning to overcome hesitation and move conversations forward.",Influencing by deeply understanding concerns and co-creating solutions.,1,,General,True,"""2025-12-09T17:11:35.737Z""","""2025-12-16T04:27:44.388Z""",SPIN Questioning + Consultative selling/influence,"Rackham, N. (1988). SPIN Selling.; Consultative influence practices (needs diagnosis → co-create).",Problem discovery; Active listening; Objection diagnosis; Reframing; Collaborative close,"SkillPulse: score each dimension (1–5) as the average of mapped Likert/SJT items (reverse-code where applicable); overall skill score = average of dimension scores (or weighted average if weights provided). AI Practice Lab: score each dimension 0–5 using a behavioral rubric (0=not observed, 5=exemplary) with evidence tags; session skill score = weighted average of observed dimensions; track consistency (variance) and improvement vs baseline."
91,Executive Presence & Strategic Influence,"Synthesizes complexity into crisp narratives, presents compelling recommendations, and shows maturity under pressure.","Communicating with clarity, confidence, and strategic perspective to senior leaders.",1,,General,True,"""2025-12-09T17:11:35.758Z""","""2025-12-16T04:27:44.388Z""",Executive Presence (Hewlett) + Pyramid Principle,Hewlett (Executive Presence).; Minto (Pyramid Principle).,Crispness; Gravitas; Strategic framing; Confidence; Ask clarity,"SkillPulse: score each dimension (1–5) as the average of mapped Likert/SJT items (reverse-code where applicable); overall skill score = average of dimension scores (or weighted average if weights provided). AI Practice Lab: score each dimension 0–5 using a behavioral rubric (0=not observed, 5=exemplary) with evidence tags; session skill score = weighted average of observed dimensions; track consistency (variance) and improvement vs baseline."
92,Emotional Intelligence & De-escalation,"Maintains calm, validates emotions skillfully, and redirects discussions toward productive outcomes.",Recognizing and regulating emotions (self + others) to reduce tension.,1,,General,True,"""2025-12-09T17:11:35.777Z""","""2025-12-16T04:27:44.388Z""",Emotional Intelligence + Emotion Regulation (Gross),"Goleman EI.; Gross, J.J. (1998+). Emotion regulation process model.",Self-regulation; Empathy; Social awareness; Recovery speed; Constructive language,"SkillPulse: score each dimension (1–5) as the average of mapped Likert/SJT items (reverse-code where applicable); overall skill score = average of dimension scores (or weighted average if weights provided). AI Practice Lab: score each dimension 0–5 using a behavioral rubric (0=not observed, 5=exemplary) with evidence tags; session skill score = weighted average of observed dimensions; track consistency (variance) and improvement vs baseline."
93,Facilitation & Collaborative Problem-Solving,"Ensures equal participation, uncovers assumptions, and structures dialogue to reach aligned decisions.",Guiding groups toward shared understanding and solutions.,1,,General,True,"""2025-12-09T17:11:35.798Z""","""2025-12-16T04:27:44.388Z""",Facilitation ORID method + Collaborative decision hygiene,ORID Focused Conversation method (ToP).; Practical facilitation best practices.,Structure; Neutrality; Inclusion; Synthesis; Decision closure,"SkillPulse: score each dimension (1–5) as the average of mapped Likert/SJT items (reverse-code where applicable); overall skill score = average of dimension scores (or weighted average if weights provided). AI Practice Lab: score each dimension 0–5 using a behavioral rubric (0=not observed, 5=exemplary) with evidence tags; session skill score = weighted average of observed dimensions; track consistency (variance) and improvement vs baseline."
94,Assertiveness with Empathy,Sets boundaries respectfully while preserving trust. Communicates constraints without triggering defensiveness.,Balancing firmness with care in difficult conversations.,1,,General,True,"""2025-12-09T17:11:35.819Z""","""2025-12-16T04:27:44.388Z""",Nonviolent Communication + Crucial Conversations,Rosenberg (NVC).; Crucial Conversations (high-stakes dialogue).,Validation; Boundary clarity; Tone control; Options framing; Trust protection,"SkillPulse: score each dimension (1–5) as the average of mapped Likert/SJT items (reverse-code where applicable); overall skill score = average of dimension scores (or weighted average if weights provided). AI Practice Lab: score each dimension 0–5 using a behavioral rubric (0=not observed, 5=exemplary) with evidence tags; session skill score = weighted average of observed dimensions; track consistency (variance) and improvement vs baseline."
95,Strategic Prioritization & Influence,"Makes trade-offs aligned with value, communicates rationale persuasively, and gains senior buy-in.",Advocating for decisions that maximize business impact.,1,,General,True,"""2025-12-09T17:11:35.839Z""","""2025-12-16T04:27:44.388Z""",OKRs + Impact-based prioritization,"Doerr, J. (2018). Measure What Matters (OKRs).; Impact-based prioritization practices.",Business impact; Resource logic; Risk management; Persuasion; Decision clarity,"SkillPulse: score each dimension (1–5) as the average of mapped Likert/SJT items (reverse-code where applicable); overall skill score = average of dimension scores (or weighted average if weights provided). AI Practice Lab: score each dimension 0–5 using a behavioral rubric (0=not observed, 5=exemplary) with evidence tags; session skill score = weighted average of observed dimensions; track consistency (variance) and improvement vs baseline."
96,Relationship Repair & Trust Rebuilding,"Acknowledges impact, listens deeply, and negotiates a constructive path forward. Demonstrates authenticity and accountability.",Restoring confidence after a breakdown or conflict.,1,,General,True,"""2025-12-09T17:11:35.860Z""","""2025-12-16T04:27:44.388Z""",Trust Repair (Lewicki) + Effective Apology components,Lewicki & colleagues (trust repair).; Apology components (acknowledge-impact-responsibility-repair).,Acknowledgment; Accountability; Empathy; Repair actions; Prevention plan,"SkillPulse: score each dimension (1–5) as the average of mapped Likert/SJT items (reverse-code where applicable); overall skill score = average of dimension scores (or weighted average if weights provided). AI Practice Lab: score each dimension 0–5 using a behavioral rubric (0=not observed, 5=exemplary) with evidence tags; session skill score = weighted average of observed dimensions; track consistency (variance) and improvement vs baseline."
97,Influence Without Authority,"Builds alignment through empathy, credibility, and shared goals. Finds win-win solutions even with resistant peers.",Moving work forward when teams dont report to you.,1,,General,True,"""2025-12-09T17:11:35.879Z""","""2025-12-16T04:27:44.388Z""",Stakeholder management + Social Exchange theory,Influence without authority practices (Cohen & Bradford popularized).; Social exchange concepts in org behavior.,Credibility; Empathy; Joint problem-solving; Coalition building; Win-win framing,"SkillPulse: score each dimension (1–5) as the average of mapped Likert/SJT items (reverse-code where applicable); overall skill score = average of dimension scores (or weighted average if weights provided). AI Practice Lab: score each dimension 0–5 using a behavioral rubric (0=not observed, 5=exemplary) with evidence tags; session skill score = weighted average of observed dimensions; track consistency (variance) and improvement vs baseline."
98,Negotiation & Commercial Acumen,"Uncovers underlying interests, prepares strategically, and negotiates confidently while maintaining partnership trust.","Reaching agreements that balance value, cost, and relationship.",1,,General,True,"""2025-12-09T17:11:35.900Z""","""2025-12-16T04:27:44.388Z""",Principled Negotiation + BATNA/ZOPA,Fisher & Ury (Getting to Yes).; BATNA/ZOPA negotiation concepts widely used in negotiation training.,Preparation (BATNA); Value creation; Value claiming; Relationship management; Closure,"SkillPulse: score each dimension (1–5) as the average of mapped Likert/SJT items (reverse-code where applicable); overall skill score = average of dimension scores (or weighted average if weights provided). AI Practice Lab: score each dimension 0–5 using a behavioral rubric (0=not observed, 5=exemplary) with evidence tags; session skill score = weighted average of observed dimensions; track consistency (variance) and improvement vs baseline."
99,Boundary Setting & Role Clarity,"Surfaces ambiguity, aligns expectations, and prevents miscommunication in high-complexity environments.","Defining ownership, responsibilities, and limits clearly.",1,,General,True,"""2025-12-09T17:11:35.920Z""","""2025-12-16T04:27:44.388Z""",RACI/DACI + Role clarity research,RACI/DACI decision-rights frameworks.; Role clarity findings in org/team effectiveness literature.,Ownership definition; Decision rights; Communication clarity; Conflict prevention; Escalation paths,"SkillPulse: score each dimension (1–5) as the average of mapped Likert/SJT items (reverse-code where applicable); overall skill score = average of dimension scores (or weighted average if weights provided). AI Practice Lab: score each dimension 0–5 using a behavioral rubric (0=not observed, 5=exemplary) with evidence tags; session skill score = weighted average of observed dimensions; track consistency (variance) and improvement vs baseline."
100,Ethical Judgment & Courage,"Holds the line against shortcuts, communicates risks clearly, and protects long-term integrity and quality.",Making principled decisions under pressure.,1,,General,True,"""2025-12-09T17:11:35.938Z""","""2025-12-16T04:27:44.388Z""",Giving Voice to Values + Ethical Decision-Making (Rest),"Gentile, M. (2010). Giving Voice to Values.; Rest’s ethical decision-making model.",Integrity; Stakeholder impact; Risk framing; Courageous communication; Alternative solutions,"SkillPulse: score each dimension (1–5) as the average of mapped Likert/SJT items (reverse-code where applicable); overall skill score = average of dimension scores (or weighted average if weights provided). AI Practice Lab: score each dimension 0–5 using a behavioral rubric (0=not observed, 5=exemplary) with evidence tags; session skill score = weighted average of observed dimensions; track consistency (variance) and improvement vs baseline."
101,Strategic Customer Management,"Anticipates needs, frames strategic solutions, and balances customer expectations with business realities.",Managing important customer relationships with insight and influence.,1,,General,True,"""2025-12-09T17:11:35.960Z""","""2025-12-16T04:27:44.388Z""",Key Account Management (KAM) + Service recovery,Key Account Management practices (relationship/value governance).; Service recovery principles (LAER/HEARD).,Relationship health; Value delivery; Expectation alignment; Renewal strategy; Escalation management,"SkillPulse: score each dimension (1–5) as the average of mapped Likert/SJT items (reverse-code where applicable); overall skill score = average of dimension scores (or weighted average if weights provided). AI Practice Lab: score each dimension 0–5 using a behavioral rubric (0=not observed, 5=exemplary) with evidence tags; session skill score = weighted average of observed dimensions; track consistency (variance) and improvement vs baseline."
102,Motivational Leadership & Empathy,"Understands emotional needs, communicates hope, and helps team members reconnect with purpose.",Inspiring confidence and energy during uncertainty or change.,1,,General,True,"""2025-12-09T17:11:35.980Z""","""2025-12-16T04:27:44.388Z""",Self-Determination Theory + Psychological Safety,"Deci, E.L. & Ryan, R.M. (Self-Determination Theory).; Edmondson (Psychological Safety).",Empathy; Meaning-making; Confidence building; Clarity; Momentum actions,"SkillPulse: score each dimension (1–5) as the average of mapped Likert/SJT items (reverse-code where applicable); overall skill score = average of dimension scores (or weighted average if weights provided). AI Practice Lab: score each dimension 0–5 using a behavioral rubric (0=not observed, 5=exemplary) with evidence tags; session skill score = weighted average of observed dimensions; track consistency (variance) and improvement vs baseline."
